County,Tabulator ID,Batch,# of Ballot Cards,Location,,,,,,,,,,,,,,,,,
Gunnison,2,1,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,2,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,3,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,4,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,5,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,6,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,7,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,8,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,9,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,10,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,11,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,12,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,13,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,14,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,15,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,16,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,17,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,18,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,19,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,20,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,21,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,22,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,23,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,24,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,25,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,26,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,27,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,28,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,29,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,30,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,31,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,32,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,33,19,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,34,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,35,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,36,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,37,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,38,4,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,39,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,40,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,41,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,42,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,43,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,44,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,45,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,46,25,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,47,20,Box 1,,,,,,,,,,,,,,,,,
Gunnison,2,48,25,Box 2,,,,,,,,,,,,,,,,,
Gunnison,2,49,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,50,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,51,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,52,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,53,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,54,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,55,25,box 2,,,,,,,,,,,,,,,,, 
Gunnison,2,56,26,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,57,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,58,25,box  2,,,,,,,,,,,,,,,,,
Gunnison,2,59,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,60,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,61,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,62,13,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,63,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,64,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,65,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,66,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,67,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,68,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,69,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,70,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,71,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,72,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,73,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,74,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,75,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,76,9,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,77,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,78,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,79,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,80,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,81,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,82,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,83,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,84,25,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,85,23,box 2,,,,,,,,,,,,,,,,,
Gunnison,2,86,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,87,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,88,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,89,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,90,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,91,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,92,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,93,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,94,16,box3,,,,,,,,,,,,,,,,,
Gunnison,2,95,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,96,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,97,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,98,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,99,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,100,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,101,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,102,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,103,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,104,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,105,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,106,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,107,5,box3,,,,,,,,,,,,,,,,,
Gunnison,2,108,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,109,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,110,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,111,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,112,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,113,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,114,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,115,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,116,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,117,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,118,25,box3,,,,,,,,,,,,,,,,,
Gunnison,2,119,18,box3,,,,,,,,,,,,,,,,,
Gunnison,2,120,25,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,121,25,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,122,25,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,123,25,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,124,25,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,125,25,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,126,25,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,127,25,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,128,25,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,129,25,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,130,25,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,131,25,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,132,22,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,133,25,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,134,25,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,135,25,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,136,25,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,137,25,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,138,25,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,139,25,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,140,25,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,141,25,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,142,25,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,143,25,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,144,25,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,145,25,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,146,25,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,147,25,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,148,25,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,149,25,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,150,21,box 4,,,,,,,,,,,,,,,,,
Gunnison,2,151,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,152,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,153,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,154,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,155,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,156,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,157,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,158,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,159,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,160,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,161,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,162,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,163,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,164,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,165,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,166,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,167,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,168,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,169,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,170,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,171,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,172,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,173,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,174,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,175,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,176,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,177,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,178,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,179,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,180,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,181,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,182,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,183,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,184,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,185,25,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,186,6,box 5,,,,,,,,,,,,,,,,,
Gunnison,2,187,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,188,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,189,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,190,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,191,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,192,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,193,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,194,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,195,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,196,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,197,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,198,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,199,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,200,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,201,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,202,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,203,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,204,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,205,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,206,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,207,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,208,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,209,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,210,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,211,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,212,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,213,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,214,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,215,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,216,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,217,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,218,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,219,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,220,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,221,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,222,25,box 6,,,,,,,,,,,,,,,,,
Gunnison,2,223,25,box 7,,,,,,,,,,,,,,,,,
Gunnison,2,224,25,box 7,,,,,,,,,,,,,,,,,
Gunnison,2,225,25,box 7,,,,,,,,,,,,,,,,,
Gunnison,2,226,25,box 7,,,,,,,,,,,,,,,,,
Gunnison,2,227,25,box 7,,,,,,,,,,,,,,,,,
Gunnison,2,228,25,box 7,,,,,,,,,,,,,,,,,
Gunnison,2,229,25,box 7,,,,,,,,,,,,,,,,,
Gunnison,2,230,25,box 7,,,,,,,,,,,,,,,,,
Gunnison,2,231,25,box 7,,,,,,,,,,,,,,,,,
Gunnison,2,232,25,box 7,,,,,,,,,,,,,,,,,
Gunnison,2,233,25,box 7,,,,,,,,,,,,,,,,,
Gunnison,2,234,25,box 7,,,,,,,,,,,,,,,,,
Gunnison,2,235,25,box 7,,,,,,,,,,,,,,,,,
Gunnison,2,236,25,box 7,,,,,,,,,,,,,,,,,
Gunnison,2,237,25,box 7,,,,,,,,,,,,,,,,,
Gunnison,2,238,25,box 7,,,,,,,,,,,,,,,,,
Gunnison,2,239,25,box 7,,,,,,,,,,,,,,,,,
Gunnison,2,240,25,box 7,,,,,,,,,,,,,,,,,
Gunnison,2,241,14,box 7,,,,,,,,,,,,,,,,,
Gunnison,2,242,4,box 7,,,,,,,,,,,,,,,,,
Gunnison,2,243,25,box 7,,,,,,,,,,,,,,,,,
Gunnison,2,244,22,box 7,,,,,,,,,,,,,,,,,
