County,Tabulator,Batch #,# of Ballot Cards,Location
Boulder,1,1,149,1
Boulder,1,2,146,1
Boulder,1,3,149,1
Boulder,1,4,150,1
Boulder,1,5,149,1
Boulder,1,6,149,1
Boulder,1,7,148,1
Boulder,1,8,148,1
Boulder,1,9,145,1
Boulder,1,10,150,9
Boulder,1,11,150,9
Boulder,1,12,149,9
Boulder,1,13,149,9
Boulder,1,14,143,9
Boulder,1,15,150,9
Boulder,1,16,149,9
Boulder,1,17,149,9
Boulder,1,18,148,9
Boulder,1,19,150,17
Boulder,1,20,150,17
Boulder,1,21,144,17
Boulder,1,22,149,17
Boulder,1,23,148,17
Boulder,1,24,147,17
Boulder,1,25,149,17
Boulder,1,26,148,17
Boulder,1,27,150,17
Boulder,1,28,150,41
Boulder,1,29,146,41
Boulder,1,30,148,41
Boulder,1,31,149,41
Boulder,1,32,150,41
Boulder,1,33,148,41
Boulder,1,34,148,41
Boulder,1,35,148,41
Boulder,1,36,150,41
Boulder,1,37,147,25
Boulder,1,38,149,25
Boulder,1,39,147,25
Boulder,1,40,149,25
Boulder,1,41,149,25
Boulder,1,42,148,25
Boulder,1,43,147,25
Boulder,1,44,150,25
Boulder,1,45,148,25
Boulder,1,46,148,40
Boulder,1,47,149,40
Boulder,1,48,149,40
Boulder,1,49,149,40
Boulder,1,50,149,40
Boulder,1,51,16,40
Boulder,1,52,150,40
Boulder,1,53,148,40
Boulder,1,54,148,40
Boulder,1,55,148,40
Boulder,1,56,149,48
Boulder,1,57,150,48
Boulder,1,58,148,48
Boulder,1,59,150,48
Boulder,1,60,148,48
Boulder,1,61,147,48
Boulder,1,62,147,48
Boulder,1,63,147,48
Boulder,1,64,148,48
Boulder,1,65,149,49
Boulder,1,66,148,49
Boulder,1,67,172,49
Boulder,1,68,147,49
Boulder,1,69,142,49
Boulder,1,70,143,49
Boulder,1,71,149,49
Boulder,1,72,149,49
Boulder,1,73,149,49
Boulder,1,74,146,57
Boulder,1,75,150,57
Boulder,1,76,150,57
Boulder,1,77,129,57
Boulder,1,78,149,57
Boulder,1,79,150,57
Boulder,1,80,149,57
Boulder,1,81,150,57
Boulder,1,82,150,57
Boulder,1,83,148,58
Boulder,1,84,150,58
Boulder,1,85,150,58
Boulder,1,86,149,58
Boulder,1,87,148,58
Boulder,1,88,148,58
Boulder,1,89,150,58
Boulder,1,90,148,58
Boulder,1,91,147,61
Boulder,1,92,148,61
Boulder,1,93,150,61
Boulder,1,94,149,61
Boulder,1,95,143,61
Boulder,1,96,149,61
Boulder,1,97,147,61
Boulder,1,98,149,61
Boulder,1,99,149,61
Boulder,1,100,149,61
Boulder,1,101,150,71
Boulder,1,102,150,71
Boulder,1,103,147,71
Boulder,1,104,150,71
Boulder,1,105,149,71
Boulder,1,106,146,71
Boulder,1,107,148,71
Boulder,1,108,149,71
Boulder,1,109,149,71
Boulder,1,110,150,78
Boulder,1,111,148,78
Boulder,1,112,149,78
Boulder,1,113,150,78
Boulder,1,114,150,78
Boulder,1,115,150,78
Boulder,1,116,149,78
Boulder,1,117,149,78
Boulder,1,118,150,78
Boulder,1,119,149,84
Boulder,1,120,150,84
Boulder,1,121,150,84
Boulder,1,122,150,84
Boulder,1,123,150,84
Boulder,1,124,150,84
Boulder,1,125,148,84
Boulder,1,126,146,84
Boulder,1,127,40,84
Boulder,1,128,8,84
Boulder,1,129,3,84
Boulder,1,130,4,84
Boulder,1,131,434,69
Boulder,2,1,148,2
Boulder,2,2,149,2
Boulder,2,3,149,2
Boulder,2,4,127,2
Boulder,2,5,147,2
Boulder,2,6,145,2
Boulder,2,7,140,2
Boulder,2,8,135,2
Boulder,2,9,148,2
Boulder,2,10,148,10
Boulder,2,11,148,10
Boulder,2,12,149,10
Boulder,2,13,149,10
Boulder,2,14,148,10
Boulder,2,15,147,10
Boulder,2,16,146,10
Boulder,2,17,148,10
Boulder,2,18,149,10
Boulder,2,19,149,18
Boulder,2,20,147,18
Boulder,2,21,149,18
Boulder,2,22,147,18
Boulder,2,23,150,18
Boulder,2,24,149,18
Boulder,2,25,147,18
Boulder,2,26,150,18
Boulder,2,27,149,18
Boulder,2,28,149,36
Boulder,2,29,148,36
Boulder,2,30,149,36
Boulder,2,31,149,36
Boulder,2,32,147,36
Boulder,2,33,149,36
Boulder,2,34,149,36
Boulder,2,35,149,36
Boulder,2,36,146,36
Boulder,2,37,148,26
Boulder,2,38,0,
Boulder,2,39,16,26
Boulder,2,40,144,26
Boulder,2,41,148,26
Boulder,2,42,149,26
Boulder,2,43,150,26
Boulder,2,44,146,26
Boulder,2,45,150,26
Boulder,2,46,148,26
Boulder,2,47,148,26
Boulder,2,48,149,42
Boulder,2,49,146,42
Boulder,2,50,149,42
Boulder,2,51,150,42
Boulder,2,52,148,42
Boulder,2,53,144,42
Boulder,2,54,149,42
Boulder,2,55,149,42
Boulder,2,56,150,42
Boulder,2,57,149,50
Boulder,2,58,150,50
Boulder,2,59,150,50
Boulder,2,60,149,50
Boulder,2,61,149,50
Boulder,2,62,150,50
Boulder,2,63,150,50
Boulder,2,64,149,50
Boulder,2,65,148,50
Boulder,2,66,92,63
Boulder,2,67,149,63
Boulder,3,1,150,3
Boulder,3,2,149,3
Boulder,3,3,149,3
Boulder,3,4,149,3
Boulder,3,5,149,3
Boulder,3,6,150,3
Boulder,3,7,147,3
Boulder,3,8,150,3
Boulder,3,9,147,3
Boulder,3,10,149,11
Boulder,3,11,149,11
Boulder,3,12,148,11
Boulder,3,13,149,11
Boulder,3,14,146,11
Boulder,3,15,149,11
Boulder,3,16,147,11
Boulder,3,17,149,11
Boulder,3,18,148,11
Boulder,3,19,149,19
Boulder,3,20,150,19
Boulder,3,21,148,19
Boulder,3,22,150,19
Boulder,3,23,148,19
Boulder,3,24,147,19
Boulder,3,25,150,19
Boulder,3,26,146,19
Boulder,3,27,149,19
Boulder,3,28,147,27
Boulder,3,29,148,27
Boulder,3,30,148,27
Boulder,3,31,16,27
Boulder,3,32,147,27
Boulder,3,33,148,27
Boulder,3,34,146,27
Boulder,3,35,149,27
Boulder,3,36,148,27
Boulder,3,37,150,27
Boulder,3,38,146,43
Boulder,3,39,148,43
Boulder,3,40,150,43
Boulder,3,41,150,43
Boulder,3,42,148,43
Boulder,3,43,149,43
Boulder,3,44,136,43
Boulder,3,45,148,43
Boulder,3,46,148,43
Boulder,3,47,149,51
Boulder,3,48,150,51
Boulder,3,49,148,51
Boulder,3,50,149,51
Boulder,3,51,149,51
Boulder,3,52,148,51
Boulder,3,53,150,51
Boulder,3,54,150,51
Boulder,3,55,147,51
Boulder,3,56,149,64
Boulder,3,57,150,64
Boulder,3,58,149,64
Boulder,3,59,148,64
Boulder,3,60,149,64
Boulder,3,61,150,64
Boulder,3,62,148,64
Boulder,3,63,148,64
Boulder,3,64,150,64
Boulder,3,65,149,68
Boulder,3,66,143,68
Boulder,3,67,150,68
Boulder,3,68,149,68
Boulder,3,69,149,68
Boulder,3,70,147,68
Boulder,3,71,150,68
Boulder,3,72,148,68
Boulder,3,73,150,68
Boulder,3,74,147,72
Boulder,3,75,145,72
Boulder,3,76,150,72
Boulder,3,77,150,72
Boulder,3,78,150,72
Boulder,3,79,150,72
Boulder,3,80,150,72
Boulder,3,81,149,72
Boulder,3,82,146,72
Boulder,3,83,146,83
Boulder,3,84,149,83
Boulder,3,85,150,83
Boulder,3,86,134,83
Boulder,3,87,150,83
Boulder,3,88,150,83
Boulder,3,89,146,83
Boulder,3,90,33,89
Boulder,3,91,94,89
Boulder,4,1,141,4
Boulder,4,2,147,4
Boulder,4,3,148,4
Boulder,4,4,148,4
Boulder,4,5,148,4
Boulder,4,6,147,4
Boulder,4,7,150,4
Boulder,4,8,148,4
Boulder,4,9,149,12
Boulder,4,10,150,12
Boulder,4,11,148,12
Boulder,4,12,149,12
Boulder,4,13,150,12
Boulder,4,14,149,12
Boulder,4,15,150,12
Boulder,4,16,149,12
Boulder,4,17,149,12
Boulder,4,18,150,20
Boulder,4,19,150,20
Boulder,4,20,149,20
Boulder,4,21,149,20
Boulder,4,22,150,20
Boulder,4,23,148,20
Boulder,4,24,150,20
Boulder,4,25,149,20
Boulder,4,26,148,20
Boulder,4,27,146,28
Boulder,4,28,150,28
Boulder,4,29,150,28
Boulder,4,30,148,28
Boulder,4,31,151,28
Boulder,4,32,150,28
Boulder,4,33,147,28
Boulder,4,34,146,28
Boulder,4,35,147,28
Boulder,4,36,148,37
Boulder,4,37,148,37
Boulder,4,38,149,37
Boulder,4,39,148,37
Boulder,4,40,147,37
Boulder,4,41,150,37
Boulder,4,42,16,37
Boulder,4,43,148,37
Boulder,4,44,145,37
Boulder,4,45,148,37
Boulder,4,46,150,44
Boulder,4,47,148,44
Boulder,4,48,149,44
Boulder,4,49,148,44
Boulder,4,50,150,44
Boulder,4,51,149,44
Boulder,4,52,147,44
Boulder,4,53,150,44
Boulder,4,54,142,44
Boulder,4,55,149,52
Boulder,4,56,144,52
Boulder,4,57,144,52
Boulder,4,58,150,52
Boulder,4,59,149,52
Boulder,4,60,149,52
Boulder,4,61,150,52
Boulder,4,62,150,52
Boulder,4,63,149,52
Boulder,4,64,148,59
Boulder,4,65,147,59
Boulder,4,66,149,59
Boulder,4,67,148,59
Boulder,4,68,149,59
Boulder,4,69,150,59
Boulder,4,70,150,59
Boulder,4,71,148,59
Boulder,4,72,146,59
Boulder,4,73,150,65
Boulder,4,74,142,65
Boulder,4,75,150,65
Boulder,4,76,150,65
Boulder,4,77,150,65
Boulder,4,78,150,65
Boulder,4,79,148,65
Boulder,4,80,147,65
Boulder,4,81,144,65
Boulder,4,82,107,74
Boulder,4,83,149,74
Boulder,4,84,150,74
Boulder,4,85,150,74
Boulder,4,86,150,74
Boulder,4,87,150,74
Boulder,4,88,147,74
Boulder,4,89,148,74
Boulder,4,90,150,74
Boulder,4,91,150,82
Boulder,4,92,150,82
Boulder,4,93,150,82
Boulder,4,94,150,82
Boulder,4,95,150,82
Boulder,4,96,149,82
Boulder,4,97,147,82
Boulder,4,98,150,82
Boulder,4,99,149,82
Boulder,4,100,148,87
Boulder,4,101,184,87
Boulder,4,102,150,87
Boulder,4,103,148,87
Boulder,4,104,150,87
Boulder,4,105,149,87
Boulder,4,106,150,87
Boulder,4,107,103,87
Boulder,4,108,150,87
Boulder,4,109,150,77
Boulder,4,110,83,77
Boulder,4,111,6,77
Boulder,4,112,11,77
Boulder,4,113,33,77
Boulder,4,114,5,77
Boulder,5,1,150,5
Boulder,5,2,148,5
Boulder,5,3,147,5
Boulder,5,4,147,5
Boulder,5,5,149,5
Boulder,5,6,150,5
Boulder,5,7,150,5
Boulder,5,8,148,5
Boulder,5,9,149,13
Boulder,5,10,149,13
Boulder,5,11,150,13
Boulder,5,12,148,13
Boulder,5,13,148,13
Boulder,5,14,148,13
Boulder,5,15,148,13
Boulder,5,16,149,13
Boulder,5,17,146,13
Boulder,5,18,16,21
Boulder,5,19,148,21
Boulder,5,20,145,21
Boulder,5,21,148,21
Boulder,5,22,149,21
Boulder,5,23,143,21
Boulder,5,24,150,21
Boulder,5,25,150,21
Boulder,5,26,149,21
Boulder,5,27,150,29
Boulder,5,28,149,29
Boulder,5,29,149,29
Boulder,5,30,149,29
Boulder,5,31,149,29
Boulder,5,32,148,29
Boulder,5,33,150,29
Boulder,5,34,1,53
Boulder,5,35,145,29
Boulder,5,36,149,53
Boulder,5,37,149,53
Boulder,5,38,149,53
Boulder,5,39,146,53
Boulder,5,40,142,53
Boulder,5,41,149,53
Boulder,5,42,147,53
Boulder,6,1,146,6
Boulder,6,2,148,6
Boulder,6,3,149,6
Boulder,6,4,148,6
Boulder,6,5,147,6
Boulder,6,6,135,6
Boulder,6,8,149,6
Boulder,6,9,149,6
Boulder,6,10,150,6
Boulder,6,11,150,14
Boulder,6,12,147,14
Boulder,6,13,150,14
Boulder,6,14,150,14
Boulder,6,15,148,14
Boulder,6,16,150,14
Boulder,6,17,149,14
Boulder,6,18,149,14
Boulder,6,19,149,14
Boulder,6,20,150,22
Boulder,6,21,150,22
Boulder,6,22,149,22
Boulder,6,23,148,22
Boulder,6,24,147,22
Boulder,6,25,146,22
Boulder,6,26,150,22
Boulder,6,27,148,22
Boulder,6,28,148,22
Boulder,6,29,149,30
Boulder,6,30,150,30
Boulder,6,31,150,30
Boulder,6,32,147,30
Boulder,6,33,149,30
Boulder,6,34,150,30
Boulder,6,35,149,30
Boulder,6,36,149,30
Boulder,6,37,148,30
Boulder,6,38,150,38
Boulder,6,39,16,38
Boulder,6,40,150,38
Boulder,6,41,143,38
Boulder,6,42,150,38
Boulder,6,43,146,38
Boulder,6,44,150,38
Boulder,6,45,149,38
Boulder,6,46,149,38
Boulder,6,47,148,38
Boulder,6,48,149,45
Boulder,6,49,149,45
Boulder,6,50,149,45
Boulder,6,51,150,45
Boulder,6,52,141,45
Boulder,6,53,147,45
Boulder,6,54,149,45
Boulder,6,55,148,45
Boulder,6,56,148,45
Boulder,6,57,148,54
Boulder,6,58,148,54
Boulder,6,59,150,54
Boulder,6,60,147,54
Boulder,6,61,149,54
Boulder,6,62,150,54
Boulder,6,63,150,54
Boulder,6,64,150,54
Boulder,6,65,149,54
Boulder,6,66,147,66
Boulder,6,67,149,66
Boulder,6,68,148,66
Boulder,6,69,148,66
Boulder,6,70,150,66
Boulder,6,71,148,66
Boulder,6,72,147,66
Boulder,6,73,150,66
Boulder,6,74,146,66
Boulder,6,75,148,75
Boulder,6,76,149,75
Boulder,6,77,150,75
Boulder,6,78,150,75
Boulder,6,79,150,75
Boulder,6,80,149,75
Boulder,6,81,150,75
Boulder,6,82,149,75
Boulder,6,83,149,81
Boulder,6,84,146,81
Boulder,6,85,12,81
Boulder,6,86,7,81
Boulder,6,87,230,81
Boulder,7,1,150,7
Boulder,7,2,148,7
Boulder,7,3,149,7
Boulder,7,4,150,7
Boulder,7,5,149,7
Boulder,7,6,148,7
Boulder,7,7,136,7
Boulder,7,8,148,7
Boulder,7,9,148,7
Boulder,7,10,149,15
Boulder,7,11,149,15
Boulder,7,12,150,15
Boulder,7,13,150,15
Boulder,7,14,148,15
Boulder,7,15,149,15
Boulder,7,16,148,15
Boulder,7,17,150,15
Boulder,7,18,150,15
Boulder,7,19,148,23
Boulder,7,20,145,23
Boulder,7,21,150,23
Boulder,7,22,148,23
Boulder,7,23,147,23
Boulder,7,24,149,23
Boulder,7,25,148,23
Boulder,7,26,150,23
Boulder,7,27,16,23
Boulder,7,28,170,23
Boulder,7,29,147,31
Boulder,7,30,149,31
Boulder,7,31,148,31
Boulder,7,32,148,31
Boulder,7,33,150,31
Boulder,7,34,150,31
Boulder,7,35,146,31
Boulder,7,36,148,31
Boulder,7,37,150,31
Boulder,7,38,149,55
Boulder,7,39,150,55
Boulder,7,40,150,55
Boulder,7,41,150,55
Boulder,7,42,144,55
Boulder,7,43,146,55
Boulder,7,44,149,55
Boulder,7,45,147,55
Boulder,7,46,149,55
Boulder,7,47,150,86
Boulder,7,48,150,86
Boulder,7,49,145,86
Boulder,7,50,150,86
Boulder,7,51,148,86
Boulder,7,52,150,86
Boulder,7,53,149,86
Boulder,7,54,149,86
Boulder,7,55,148,86
Boulder,7,56,144,67
Boulder,7,57,150,67
Boulder,7,58,148,67
Boulder,7,59,147,67
Boulder,7,60,150,67
Boulder,7,61,150,67
Boulder,7,62,147,67
Boulder,7,63,148,67
Boulder,7,64,147,67
Boulder,7,65,150,70
Boulder,7,66,145,70
Boulder,7,67,177,70
Boulder,7,68,146,70
Boulder,7,69,150,70
Boulder,7,70,122,70
Boulder,7,71,55,70
Boulder,7,72,91,70
Boulder,8,1,147,8
Boulder,8,2,142,8
Boulder,8,3,149,8
Boulder,8,4,149,8
Boulder,8,5,150,8
Boulder,8,6,150,8
Boulder,8,7,140,8
Boulder,8,8,149,8
Boulder,8,9,146,8
Boulder,8,10,150,16
Boulder,8,11,149,16
Boulder,8,12,46,16
Boulder,8,13,147,16
Boulder,8,14,148,16
Boulder,8,15,17,16
Boulder,8,16,150,16
Boulder,8,17,149,16
Boulder,8,18,149,16
Boulder,8,19,148,16
Boulder,8,20,148,24
Boulder,8,21,150,24
Boulder,8,22,150,24
Boulder,8,23,150,24
Boulder,8,24,150,24
Boulder,8,25,149,24
Boulder,8,26,19,24
Boulder,8,27,150,24
Boulder,8,28,38,24
Boulder,8,29,91,24
Boulder,8,30,84,24
Boulder,8,31,150,32
Boulder,8,32,145,32
Boulder,8,33,149,32
Boulder,8,34,145,32
Boulder,8,35,150,32
Boulder,8,36,148,32
Boulder,8,37,149,32
Boulder,8,38,149,32
Boulder,8,39,149,32
Boulder,8,40,149,39
Boulder,8,41,149,39
Boulder,8,42,150,39
Boulder,8,43,16,39
Boulder,8,44,63,39
Boulder,8,45,150,39
Boulder,8,46,150,39
Boulder,8,47,149,39
Boulder,8,48,149,39
Boulder,8,49,148,39
Boulder,8,50,145,46
Boulder,8,51,148,46
Boulder,8,52,148,46
Boulder,8,53,148,46
Boulder,8,54,150,46
Boulder,8,55,150,46
Boulder,8,56,150,46
Boulder,8,57,90,46
Boulder,8,58,85,46
Boulder,8,59,7,46
Boulder,8,60,32,46
Boulder,8,61,149,46
Boulder,8,62,149,56
Boulder,8,63,147,56
Boulder,8,64,148,56
Boulder,8,65,145,56
Boulder,8,66,148,56
Boulder,8,67,149,56
Boulder,8,68,150,56
Boulder,8,69,150,56
Boulder,8,70,148,56
Boulder,8,71,148,76
Boulder,8,72,273,80
Boulder,8,73,101,80
Boulder,8,74,196,80
Boulder,8,75,1,80
Boulder,8,76,332,80
Boulder,8,77,31,80
Boulder,8,78,515,80
Boulder,8,79,50,80
Boulder,8,80,13,80
Boulder,8,81,3,80
Boulder,8,82,30,88
Boulder,8,83,40,88
Boulder,8,84,27,88
Boulder,8,85,32,88
Boulder,8,86,15,88
Boulder,8,87,46,88
Boulder,8,88,21,88
Boulder,8,89,39,88
Boulder,8,90,25,88
Boulder,8,91,150,88
Boulder,8,92,150,88
Boulder,8,93,82,88
Boulder,8,94,150,76
Boulder,8,95,40,88
Boulder,8,96,15,88
Boulder,8,97,41,88
Boulder,8,98,30,88
Boulder,8,99,30,88
Boulder,8,100,8,88
Boulder,8,101,10,88
Boulder,8,102,33,88
Boulder,8,103,7,88
Boulder,8,104,17,88
Boulder,8,105,3,88
Boulder,8,106,28,88
Boulder,8,107,6,88
Boulder,8,108,15,88
Boulder,8,109,15,88
Boulder,8,110,5,88
Boulder,8,111,3,88
Boulder,8,112,15,88
Boulder,8,113,2,88
Boulder,8,114,54,88
Boulder,8,115,85,88
Boulder,8,116,7,88
Boulder,8,117,0,88
Boulder,8,118,6,88
Boulder,8,119,23,88
Boulder,8,120,0,88
Boulder,8,121,245,88
Boulder,8,122,1,88
Boulder,8,123,24,88
Boulder,10,1,146,33
Boulder,10,2,150,33
Boulder,10,3,145,33
Boulder,10,4,149,33
Boulder,10,5,148,33
Boulder,10,6,150,33
Boulder,10,7,149,33
Boulder,10,8,148,33
Boulder,10,9,150,34
Boulder,10,10,150,34
Boulder,10,11,150,34
Boulder,10,12,145,34
Boulder,10,13,149,34
Boulder,10,14,149,34
Boulder,10,15,149,34
Boulder,10,16,149,34
Boulder,10,17,149,34
Boulder,10,18,150,35
Boulder,10,19,147,35
Boulder,10,20,149,35
Boulder,10,21,148,35
Boulder,10,22,149,35
Boulder,10,23,147,35
Boulder,10,24,145,35
Boulder,10,25,150,35
Boulder,10,26,149,35
Boulder,10,27,14,47
Boulder,10,28,149,47
Boulder,10,29,149,47
Boulder,10,30,146,47
Boulder,10,31,148,47
Boulder,10,32,148,47
Boulder,10,33,149,47
Boulder,10,34,150,47
Boulder,10,35,150,47
Boulder,10,36,150,47
Boulder,10,37,149,60
Boulder,10,38,150,60
Boulder,10,39,150,60
Boulder,10,40,148,60
Boulder,10,41,150,60
Boulder,10,42,148,60
Boulder,10,43,148,60
Boulder,10,44,150,60
Boulder,10,45,148,60
Boulder,10,46,147,62
Boulder,10,47,150,62
Boulder,10,48,149,62
Boulder,10,49,149,62
Boulder,10,50,148,62
Boulder,10,51,148,62
Boulder,10,52,150,62
Boulder,10,53,147,62
Boulder,10,54,146,62
Boulder,10,55,150,73
Boulder,10,56,147,73
Boulder,10,57,149,73
Boulder,10,58,150,73
Boulder,10,59,149,73
Boulder,10,60,150,73
Boulder,10,61,150,73
Boulder,10,62,150,73
Boulder,10,63,145,73
Boulder,10,64,150,85
Boulder,10,65,150,85
Boulder,10,66,149,85
Boulder,10,67,143,85
Boulder,10,68,150,85
Boulder,10,69,192,85
Boulder,10,70,30,85
