min_margin,contest_name,contest_cvr_ids
0,District Attorney - 6th Judicial District,[]
0,City of Evans Ward 3 Council Member,[]
0,Alamosa County Commissioner - District 3,[]
0,Town of Monument Councilmember Residential District 1 - 4 Year Term,[]
0,District Attorney - 12th Judicial District,[]
0,District Attorney - 2nd Judicial District ,[]
0,Weld County Commissioner - District 3,[]
0,Kiowa Mayor,[]
0,Summit County Clerk and Recorder,[]
0,State Representative - District 32,[]
0,District Attorney - 3rd Judicial District,[]
0,Sedgwick County Commissioner - District 2,[]
0,Cheyenne County Coroner,[]
0,State Representative - District 42,[]
0,State Representative - District 48,[]
0,Archuleta County Coroner,[]
0,Town of Monument Councilmember Residential District 2 - 4 Year Term,[]
0,City of Evans Ward 1 Council Member,[]
0,City of Cherry Hills Village Councilmember District 3,[]
0,City of Cherry Hills Village Councilmember District 1,[]
0,City of Cherry Hills Village Councilmember District 5,[]
0,Las Animas County Commissioner District 1,[]
0,District Attorney - 5th Judicial District,[]
0,Teller County Commissioner District 3,[]
0,Teller County Commissioner District 1,[]
0,District Attorney - 13th Judicial District,[]
0,Eagle County Commissioner - District 2,[]
0,Summit County Commissioner - District 3,[]
0,Town of Gilcrest Mayor,[]
0,Yuma County Commissioner - District 3,[]
0,State Representative - District 55,[]
0,State Representative - District 54,[]
0,Yuma County Commissioner - District 2,[]
0,Town of Wiggins Mayor,[]
0,Phillips County Commissioner - District 3,[]
0,Fremont County Surveyor,[]
0,Phillips County Commissioner - District 2,[]
0,Bent County Commissioner-District 3,[]
0,District Attorney - 11th Judicial District,[]
0,Baca County Commissioner - District 1,[]
0,State Representative - District 61,[]
0,Sedgwick County Sheriff,[]
0,Baca County Commissioner - District 3,[]
0,State Representative - District 63,[]
0,Washington County Commissioner - District 3,[]
0,Weld County Commissioner - District 1,[]
0,District Attorney - 17th Judicial District,[]
0,District Attorney - 21st Judicial District,[]
0,Archuleta County Commissioner - District 2,[]
0,Cheyenne County Commissioner - District 3,[]
0,Jackson County Commissioner Dist 3,[]
0,Cheyenne County Commissioner - District 1,[]
0,Jackson County Commissioner Dist 2,[]
0,Lake County Assessor,[]
0,Hinsdale County Commissioner District 3,[]
0,Town of Rockvale - Board of Trustees,[]
0,Prowers County Commissioner - District 1,[]
0,Prowers County Commissioner - District 3,[]
0,District Attorney - 15th Judicial District,[]
0,Kit Carson County Commissioner - District 1,[]
0,Kit Carson County Commissioner - District 3,[]
0,City of Dacono Council Members,[]
0,Otero County Commissioner District 3,[]
0,Otero County Commissioner District 1,[]
0,Town of Hayden Mayor,[]
0,San Miguel County Commissioner - District 1,[]
0,Montrose County Commissioner - District 1,[]
0,Moffat County Commissioner District 2,[]
0,Teller County Treasurer,[]
0,Ouray County Commissioner - District 3,[]
0,District Attorney - 1st Judicial District,[]
0,District Attorney - 19th Judicial District,[]
0,Mesa County Commissioner - District 3,[]
0,Town of Gilcrest Trustee,[]
0,Pitkin County Commissioner - District 4,[]
0,Pitkin County Commissioner - District 3,[]
0,District Attorney - 20th Judicial District,[]
0,La Plata County Commissioner District 2,[]
0,Town of Log Lane Village Trustee,[]
0,Regional Transportation District Director - District G,[]
0,Fremont County Board of County Commissioners - District 1,[]
0,Regional Transportation District Director - District I,[]
0,Regional Transportation District Director - District H,[]
0,State Senator - District 29,[]
0,Logan County Commissioner - District 1,[]
0,Logan County Commissioner - District 2,[]
0,Montezuma County Commissioner District 2,[]
0,Montezuma County Commissioner District 3,[]
0,Phillips County Sheriff,[]
0,Baca County Coroner,[]
0,Hinsdale County Coroner,[]
0,Delta County Commissioner - District 2,[]
0,District Attorney - 7th Judicial District,[]
0,Rio Grande County Commissioner District 3,[]
0,District Attorney - 9th Judicial District,[]
0,Elbert County Commissioner - District 1,[]
0,Elbert County Commissioner - District 3,[]
0,Clear Creek County Sheriff,[]
0,Boulder County Coroner,[]
0,Kiowa County Commissioner - District 1,[]
0,City of Cherry Hills Village Mayor,[]
0,Kiowa County Commissioner - District 3,[]
0,San Miguel County Clerk and Recorder,[]
0,Rio Blanco County Commissioner District 3,[]
0,Rio Blanco County Commissioner District 2,[]
0,City of Evans Ward 2 Council Member,[]
0,Town of Kersey Mayor,[]
0,Mineral County Commissioner - District 2,[]
0,District Attorney - 16th Judicial District,[]
0,District Attorney - 14th Judicial District,[]
0,Crowley County Commissioner - District 2,[]
0,Weld County Commissioner - At-Large,[]
11155,State Senator - District 6,[]
6042,District Court Judge - 11th Judicial District - Turner,[]
1236,Custer County Board of County Commissioners - District 3,[]
851,Custer County Board of County Commissioners - District 2,"[1320488,1321762,1320943,1322112,1323080,1321307,1321854,1322642,1321658,1321854,1321137,1321784,1321343,1323886,1322507,1321513,1321630,1322067,1321634,1322736,1322223,1323661,1320159,1321860,1323471,1321146,1323501,1323536,1320966,1320046,1320603,1322355,1323006,1322490,1322422]"
60409,Representative to the 119th United States Congress - District 7,[]
2091,Pitkin County Ballot Issue 1A: Affordable and Workforce Housing Mill Levy,"[4347517,4345692,4348301,4345032,4344719,4355523,4353127,4349005,4345319,4347898,4353556,4347886,4354847,4355215,4351922,4348196,4353242,4348085,4350878,4345394,4351565,4351739,4352723,4352815,4352790,4351322,4348425,4351689,4348538,4345116,4354970,4347677,4349158,4348935,4347721,4353433,4351098,4347148,4347405,4347592,4346939]"
107,Town of Snowmass Village - Mayor,[]
42047,Amendment 80 (CONSTITUTIONAL),[]
907565,Colorado Court of Appeals Judge - Dunn,[]
640976,Colorado Supreme Court Justice - Boatright,[]
164544,Proposition 129 (STATUTORY),[]
289847,Proposition 127 (STATUTORY),[]
1103998,Amendment I (CONSTITUTIONAL),[]
712233,Colorado Court of Appeals Judge - Schutz,[]
847284,Colorado Supreme Court Justice - Berkenkotter,[]
167935,Proposition 130 (STATUTORY),[]
5070,State Representative - District 58,[]
210403,Proposition 131 (STATUTORY),[]
728725,Proposition 128 (STATUTORY),[]
14583,District Court Judge - 7th Judicial District - Yoder,[]
1398674,Amendment G (CONSTITUTIONAL),[]
882306,Amendment J (CONSTITUTIONAL),[]
53350,State Board of Education Member - Congressional District 3,[]
1618132,Proposition JJ (STATUTORY),[]
741720,Amendment 79 (CONSTITUTIONAL),[]
411,Ouray County Commissioner - District 1,"[4325192,4325203,4326498,4325687,4326962,4326245,4325093,4325056,4325079,4324660,4323378,4325780,4323246,4324784,4327035,4326846,4327229,4324390,4324111,4324046,4324648,4325524,4325633,4326844,4327011,4323920,4324534,4327125,4326499,4326563,4326930,4325492,4324005,4325655,4325160,4324535,4326781,4324820,4327102,4324018,4325472,4325179,4325063,4326836,4323613,4325498,4327131,4323678,4326431,4325613,4323759,4324214,4326329,4324090,4323332,4324225,4323754,4324327,4323241,4324194,4326683,4323946,4326314,4323232,4324601,4327123,4326672,4325757,4325734,4326999,4326716,4323490,4323467,4323445,4325653]"
268650,Proposition KK (STATUTORY),[]
826629,Colorado Court of Appeals Judge - Kuhn,[]
350348,Presidential Electors,"[143006,188592,391982,443474,432131,619811,144040,743429,145688,592501,343460,879082,381745,1195876,1086493,271066,1096086,1307354,975763,1048360,1167732,1315208,960507,1287734,1239073,973807,872368,1153463,828508,1344200,1344064,2997671,3823678,1630209,3511522,1660595,2583483,2146607,1664281,2990693,1408685,3331133,2625854,2679629,3341931,3198857,2265473,1408880,2592244,1700597,2541052,2694998,3551242,2392878,2043120,2333995,1691599,2385373,2493163,2849863,2148680,3257167,2770606,3288821,2554185,2759990,2345641,2943716,2554203,2832364,3021273,2944163,3063312,2867935,3712233,2934453,2906351,3312433,4243427,4019647,4226696,3629428,4220172,3741270,4118750,3754271,3973874,4219480,4308996,4315900,4440766,4466341,4620491,4698039,4678642,4801267,4673352,4713008,4826952,805106]"
1356513,Amendment H (CONSTITUTIONAL),[]
836501,Colorado Court of Appeals Judge - Roman,[]
115121,Regent of the University of Colorado - At Large,"[143006,188592,391982,443474,432131,619811,144040,743429,366550,145688,592501,78659,343460,376233,370798,541822,680192,714461,372030,275052,120193,769971,269418,543942,67860,440161,135663,45539,522527,247980,260932,122056,750618,426142,609262,81801,379206,99076,879082,381745,1195876,1086493,265435,1115473,271066,1049636,576487,535235,1211745,360905,982302,1044687,1084659,235214,235037,1096086,1307354,975763,1048360,1167732,1315208,960507,1287734,1239073,973807,872368,1298803,1153463,1105828,1287687,1202347,828508,895825,713520,930846,963979,1307728,1135227,1221544,1283263,1277395,917399,1276591,1083203,1101492,1344200,1344064,1329491,2997671,3823678,1630209,3511522,1660595,2583483,2146607,1664281,2990693,1408685,3331133,2625854,2679629,3341931,3198857,2265473,1815113,1408880,2592244,1900223,3000129,2188375,1700597,2541052,2559421,2694998,3551242,3549959,1738953,2843649,2429887,1375137,1547250,2117174,2233107,1522610,2557857,2933073,3241410,3721134,2694743,1769787,2438049,2114467,2724129,1476446,2744501,1898171,2520288,1600214,1876136,1785492,2305164,2556346,2289855,2504100,2364480,3537387,1630716,3365969,2421650,1419757,1537736,3329882,2939735,1669722,1726049,1529204,2826631,2392878,2043120,2333995,2247083,2390036,1748684,1801655,1912330,2045539,2141719,1606923,1631570,1599698,1691599,1667779,2385373,2493163,2849863,2148680,3257167,2770606,3288821,2554185,2478085,2759990,2457023,2822634,2947053,2345641,2494776,3241651,2943716,2554203,2641386,3188432,3073267,2628617,2485470,2087601,2500411,2269092,2742146,2409172,3150543,2414026,2395877,2097076,1805939,2225407,2568598,2832364,3021273,2944163,3063312,3150315,3985740,3833073,3601012,2768288,2867935,3712233,3991133,2746560,2781237,3259099,4121739,3561554,2884490,2824273,3216556,3585248,3068847,4167685,2840735,2934453,2906351,3312433,4243427,4019647,4226696,3629428,4220172,3741270,4118750,3754271,3843132,3458110,4103067,3850058,4283096,3416407,3690183,4120344,4146351,3906895,3862230,3998024,3983316,4059855,4253629,4147684,3865199,4251602,4234674,3973874,3825950,3975186,3758001,4134329,4219480,4308996,4315900,4335817,4440766,4466341,4495312,4464575,4447815,4465561,4459345,4586809,4844174,4841474,4620491,4614149,4615660,4698039,4678642,4801267,4673352,4671263,4671800,4690053,4713008,4785307,4678486,4702021,4735295,4785759,4666658,4719235,4826952,805106,807465,728896]"
13567,District Court Judge - 7th Judicial District - Schultz,[]
297433,Amendment K (CONSTITUTIONAL),[]
503905,Colorado Court of Appeals Judge - Jones,[]
53314,Regent of the University of Colorado - Congressional District 3,[]
708027,Colorado Supreme Court Justice - Marquez,[]
19983,Representative to the 119th United States Congress - District 3,[]
1713,Ouray County Court - Thomasson,[]
11111,Montrose School District RE-1J Ballot Issue 5A,[]
20692,State Representative - District 60,[]
372,Town of Snowmass Village Ballot Question 2D: Approve Workforce Housing Project Spending Limit,[]
1814,City of Aspen Ballot Issue 2B: Extension of Existing 0.45% Sales Tax Affordable Housing and Day Care,[]
5701,Pitkin County Court - Andrews,[]
6731,Pitkin County Ballot Issue 1B: County Solid Waste Center Bonds,[]
116,Town of Snowmass Village - Town Council,[]
5108,State Representative - District 57,[]
3509,Pitkin County Ballot Question 1C: BOCC Referred Home Rule Charter Amendment,[]
1281,City of Aspen Ballot Issue 2A: Extension of Real Estate Transfer Tax,[]
2866,City of Aspen Ballot Issue 2C: Imposition of a Use Tax on Motor Vehicles,[]
3926,Pitkin County Commissioner - District 5,[]
16119,District Court Judge - 9th Judicial District - Norrdin,[]
2074,Pitkin County Ballot Question 200: Citizen Initiated Home Rule Charter Amendment,[]
3952,State Senator - District 5,[]
116,City Council Member,[]
1522,Phillips County Court Judge - Killin,[]
6207,District Court Judge - 13th Judicial District - McGuire,[]
91667,State Board of Education Member - Congressional District 4,[]
261,City of Holyoke Mayor,"[4342910,4343048,4343682,4342598,4342982,4341736,4343863,4342694,4343064,4342343,4342666,4343881,4343499,4343495,4343610,4343947,4343661,4341633,4342531,4341641,4341700,4343593,4343691,4343843,4341931,4342344,4342757,4343354,4341971,4342386,4342658,4343589,4343505,4342515,4342946,4342701,4343702,4341771,4343891,4343574,4342859,4343443,4341820,4342498,4342228,4343408,4342323,4343509,4342778,4343409,4343053,4343340,4343291,4343356,4342696,4342945,4342530,4342632,4342522,4341849,4342795,4342919,4342169,4341976,4342519,4342114,4342260,4342257]"
70,Holyoke School District RE-1J Ballot Issue 5K - Bonds,[]
4003,District Court Judge - 13th Judicial District - James,[]
51961,Representative to the 119th United States Congress - District 4,[]
4106,District Court Judge - 13th Judicial District - Haenlein,[]
104,BRUSH RURAL FIRE PROTECTION DISTRICT BALLOT ISSUE 7A,[]
700,Washington County Commissioner - District 2,"[4626432,4628186,4628973,4627603,4628315,4626602,4627951,4628420,4626815,4626694,4626822,4627936,4627177,4626738,4627396,4627439,4626891,4628671,4628436,4627582,4627778,4627410,4626788,4628816,4628083,4627180,4626513,4626626,4629025,4629161,4627883]"
186,San Miguel Authority for Regional Transportation (SMART) Ballot Issue 3A,[]
996,San Miguel County Ballot Question 1A,"[4584694,4586670,4587005,4587422,4584360,4585352,4583994,4585593,4585999,4586111,4587158,4587950,4587550,4583153,4587616,4585060,4586988,4586052,4584491,4587061,4583332,4586066,4584508,4587162,4584463,4587204,4587194,4587261,4586077,4585934,4583588,4585086,4584281,4585354,4583962,4583105,4584051,4584162]"
1353,San Miguel County Ballot Question 1B,[]
2546,San Miguel County Commissioner - District 3,[]
586,Norwood Fire Protection District Ballot Issue 7A,[]
89,Norwood School District R-2J Issue 5B,[]
15319,State Representative - District 47,[]
2364,Prowers County Ballot Issue 1A,"[4358588,4356227,4358670,4359738,4361063,4356932,4360767,4359242,4358557,4356308,4358530,4359655,4359691,4356329,4357218,4356294,4359400,4360565]"
2388,District Court Judge - 15th Judicial District - Davidson,[]
116,Sedgwick County Commissioner - District 3,"[4588931,4589253,4589142,4588670,4589388,4588441,4588552,4589070,4588796,4588434,4588484,4589357,4589165,4588253,4588362,4588740,4589389,4589071,4588395,4589331,4589475,4589337,4588379,4588474,4588403,4588943,4589363,4588405,4589102,4588385,4588816,4589441,4588524,4589260,4588784,4588823,4589197,4588325,4589053,4588235,4588124,4589262,4589339,4589234,4588483,4589435,4589255,4589339,4588377,4588416,4588294,4588418,4589056,4588493,4589426,4588192,4588696,4589251,4588689,4588271,4589220,4589149,4588413,4588130,4588993,4589419,4589207,4589224,4589114,4589467,4589399,4588577,4588643,4589234,4588993,4589008,4589041,4589041,4589161,4588647,4588141,4588789,4588652,4588978,4588971,4588742,4588653,4588629]"
423,Sedgwick County Court - Landry,[]
486,Crawford Water Conservancy District Ballot Issue 7B,[]
3659,Otero County Ballot Question 1A,"[4316215,4322865,4318931,4322717,4315712,4322795,4314601,4319738,4321137,4314056,4318417,4315169,4317892,4319665,4319360,4320475,4314482,4319262,4317096,4318496]"
350,Town of Fowler Ballot Issue 2A,[]
4453,District Court Judge - 16th Judicial District - Vigil,[]
5678,State Representative - District 13,[]
1878,Park County Commissioner District 2,[]
1816,Park County Commissioner District 1,"[4338229,4328329,4329751,4337082,4330642,4329281,4337653,4337729,4339110,4329578,4340071,4328295,4336144,4340095,4336439,4329377,4337599,4336141,4333971,4329296,4340453,4339389,4334625,4338632,4340976,4339657,4329138,4340791,4337316,4334437,4341135,4340902,4340159,4332113,4333332,4339726,4341287,4330745,4332361,4340516,4335076,4334749,4337789,4336489,4336837,4337175,4332549,4331101,4330424,4336448,4332315,4328525,4333039,4330429,4330927]"
255,Hartsel Fire Protection District Ballot Issue 6A - Mill Levy Increase,[]
2423,Ute Pass Regional Health Service District Ballot Issue 7A1,[]
2941,State Representative - District 62,[]
334,Mineral County Commissioner - District 3,"[3898117,3896315,3898112,3898162,3896371,3896719,3898215,3897083,3898429,3897986,3898122,3898287,3896568,3898153,3897588,3896739,3897976,3897541]"
8014,District Court Judge - 12th Judicial District - Cortez,[]
75493,District Court Judge - 4th Judicial District - May,[]
3269,State Representative - District 18,[]
70605,District Court Judge - 4th Judicial District - Moller,[]
778,City of Woodland Park Ballot Question 2A,[]
1096,State Senator - District 12,[]
69412,District Court Judge - 4th Judicial District - Bentley,[]
63851,District Court Judge - 4th Judicial District - Evig,[]
95958,District Court Judge - 4th Judicial District - Shakes,[]
67101,District Court Judge - 4th Judicial District - Billings-Vela,[]
83949,District Attorney - 4th Judicial District,[]
57392,District Court Judge - 4th Judicial District - Findorff,[]
2509,Teller County Ballot Question 1B,[]
1721,Teller County Ballot Question 1A,"[4620007,4610860,4624325,4612893,4624624,4615971,4619017,4623110,4618485,4620853,4624701,4625363,4619613,4614249,4611051,4625053,4621584,4617289,4622884,4619633,4623825,4610873,4615231,4609168,4620592,4617100,4617328,4619258,4625207,4623259,4625647,4624156,4625528,4624874,4618468,4617037,4612956,4624477,4622330,4611480,4621528,4619729,4622212,4618952,4614553,4623180,4612622,4615353,4620421,4625222,4616501,4610561,4614366,4621510,4616199,4621468,4610276,4622161,4612196,4618656,4619506,4617777,4618342,4620108,4618637,4617810,4614099,4616615,4616557,4609329,4611647,4615325,4613515,4611913]"
84870,District Court Judge - 4th Judicial District - Brady,[]
5305,District Attorney - 22nd Judicial District,[]
195,Dove Creek Ambulance District Ballot Issue 6A,"[1428208,1425941,1426542,1425768,1428061,1427042,1427341,1428313,1427878,1427619,1428789,1427585,1425769,1427012,1428302,1428674,1427600,1428876,1427040,1427878,1428773,1428269,1426089,1428863,1426666,1427212,1427565,1426061,1427842,1428660,1427875,1426102,1425922,1426450,1428875,1426388,1426535,1427158,1428614,1428076,1427028,1427867,1426114,1425894,1426854,1426542,1426887,1427220,1427007,1426559,1426551,1425746,1426107,1426711,1426439,1426538]"
5839,District Court Judge - 22nd Judicial District - Plewe,[]
299,Dolores County Commissioner District 2,[]
516,Dolores County Commissioner District 3,[]
168,Rico Fire Protection District Ballot Question 6B,[]
181,Town of Paonia Ballot Issue 2A,[]
1820,Delta County Court - Zeerip,"[1337589,1324633,1330719,1336243,1328171,1335921,1342910,1329427,1335492,1338640,1324970,1335063,1324658,1327643,1329496,1342201,1333882,1340206,1335053,1342442,1327708,1341353,1329621,1325897,1327544,1343776,1328160,1332053,1340806,1339507,1326125,1331904,1339865,1339958,1343704,1328344,1341102,1325990,1342442,1336924,1329541,1328716,1340049,1328606,1327179,1336356,1335074,1342092,1327795,1325644,1337782,1335604,1332329,1339253,1331540,1339801,1338943,1340359,1337079,1340097,1336534,1337868,1334921,1338649,1330811,1335142,1329293,1339117,1333481,1333850,1337995,1337071,1324781,1335790,1335152,1330908,1332735,1330382,1330412,1330316,1329434]"
5479,Delta County Commissioner - District 3,[]
474,Amendment 80 (CONSTITUTIONAL) - Rio Blanco,"[4422342,4414834,4414891,4413462,4419845,4416614,4419171,4419840,4420240,4418981,4421871,4416056,4422287,4417089,4417528,4415810,4413407,4422150,4422512,4413619,4416034,4414763,4418274,4415681,4417933,4416877,4418745,4417878,4414993,4420392,4413997,4417650,4418093,4416723,4419226,4422181,4421760,4416482,4414653,4417684,4416854,4421749,4414193,4419783,4414645,4420368,4422740,4422782,4414448,4420529,4420773,4422314,4422181,4422484,4421518,4419561,4421925,4414020,4419386]"
150,Rangely School District RE-4 Ballot Issue 4A,[]
6382,State Representative - District 26,[]
19279,Broomfield County Court - DeWick,[]
9257,State Representative - District 33,[]
17739,Broomfield Ballot Question 2B,[]
8239,Broomfield Ballot Question 2A,[]
10691,Broomfield Ballot Question 2D,[]
464,Broomfield Ballot Question 2C,[]
17256,Broomfield Ballot Question 2F,[]
648779,Regional Transportation District Ballot Issue 7A,[]
9993,Broomfield Ballot Question 2E,[]
6780,Broomfield Ballot Question 2G,"[765172,847804,869211,847648,874352,822455,863519,819346,868712,838654,715509,756755,833630,810634,715853,748171,856760,775569,839234,700256,699491,872125,830771,700721,718688,828814,822671,840431,833321,867867,758540,851979,840483,841036,822457,705703,851947,852677,739769,837895,815011,803476,830518,691040,762717,698406,691505,787851,773650,757760,773481,815168,811751]"
490,Weld County School District RE-8 Ballot Issue 5G Override,[]
10481,Adams 12 Five Star Schools Ballot Issue 5E,[]
12622,Adams 12 Five Star Schools Ballot Issue 5D,[]
70851,District Court Judge - 17th Judicial District - Vasquez,[]
52696,St. Vrain Valley School District RE-1J Ballot Issue 5C,[]
607,Weld County School District RE-8 Ballot Issue 5H Bonds,[]
37549,17th Judicial District Ballot Question 7B,[]
67695,District Court Judge - 17th Judicial District - Holbrook,[]
57569,District Court Judge - 17th Judicial District - Martin,[]
331,Alamosa School District RE-11J Ballot Issue 5A,[]
424,City of Alamosa Ballot Issue 2B,[]
376,City of Alamosa Ballot Issue 2A,[]
1757,Alamosa County Commissioner - District 1,"[94462,114481,108146,111247,115955,105897,98991,118025,105956,113398,98636,96559,102848,97654,97177,111093,100387,94888,92444,93046,115177,93227,106383,117433,103805,117401,105808,115767,116145,109104,104635,115266,94995,116245,95529,114932,96139,117383,108081,109234,105971,97563,114883,96543,96143,95984,116732,108451,103911,114705,102483,116035,106856,103021,105318,102839,107980,113341,107771,108993,103486,102037,101532,103858,103790]"
3230,Rio Grande County Commissioner District 1,[]
1382,Rio Grande County Court - Stenger,"[4489071,4487380,4475791,4479222,4482861,4481128,4487569,4490984,4491678,4477418,4487159,4490371,4486667,4488669,4481895,4489305,4484068,4485073,4479896,4480516,4490754,4486542,4487165,4491444,4484498,4486722,4489126,4490352,4476908,4486950,4484251,4485589,4482636,4476385,4476348]"
1073,City of Craig Ballot Question 2A,"[4056540,4056174,4060945,4071712,4056837,4066602,4058870,4066109,4057017,4066880,4071267,4057360,4070614,4059192,4066912,4072753,4057751,4066460,4054207,4061998,4068737,4071637,4062413,4069866,4056537,4055197,4058250,4070218,4071790,4058126,4062426,4057582,4069634,4072411,4071241,4070504,4072640,4068381,4071652,4070502,4054611,4064999,4054609,4060835,4061108,4066117,4061465]"
3349,Moffat County Commissioner District 1,[]
2860,Affordable Housing 0.5% Sales Tax Increase,[]
5433,Chaffee County Court - Bull,[]
40,Funding Poncha Springs Law Enforcement And Parks And Recreation,[]
2294,Retain Revenue For Affordable Housing,[]
182,Town of Gilcrest Ballot Question 2P,[]
1220,Chaffee County Commissioner - District 2,"[971459,968463,993517,1001338,977109,998092,1001361,975495,1004319,1000711,1006536,979542,993154,977460,970496,999977,1007745,996421,1008754,984052,1004021,1006683,978589,1001789,978780,978997,1002662,1007955,978557,995903,984203,977289,979113,1006702,970524,969195,1008129,971417,999612,1010021,980244,973263,967405,1006918,984468,988647,1005909,968803,1007109,972993,979833,991446,973446,975748,987892,992618,989728,1007380,1006858,1005503,998633,975911,1001375,997238,1003429,998858,999644,972019,972431,1005054,1005630,991096,980922,1005149,992771,998019,998276,993899,998265,1000016,998238,995948,993110,992307,981729,983727,992107,1009240,983139]"
1868,Chaffee County Commissioner - District 1,[]
41,Town of Mead Trustee,[]
1584,City of Dacono Ballot Question 2J,[]
622,City of Dacono Ballot Question 2G,[]
146,City of Dacono Ballot Question 2I,[]
504,City of Dacono Ballot Question 2H,[]
21,Town of Kersey Trustee,[]
4026,Carbon Valley Parks and Recreation District Ballot Issue 6C,[]
209,Town of Erie - Council Member District 2,[]
1014,Town of Erie - Council Member District 3,[]
123,State Representative - District 19,[]
405,City of Fort Lupton Ballot Question 2E,[]
2069,City of Fort Lupton Ballot Question 2C,[]
9927,Weld County Council - District 1,[]
31765,State Senator - District 17,[]
7985,State Senator - District 13,[]
563,State Representative - District 50,[]
14181,City of Greeley Ballot Issue 2M,[]
